 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> matlab

layers = 

  23×1 Layer array with layers:

     1   ''   Image Input             227×227×3 images with 'zerocenter' normalization
     2   ''   2-D Convolution         96 11×11 convolutions with stride [4  4] and padding [0  0  0  0]
     3   ''   ReLU                    ReLU
     4   ''   2-D Max Pooling         3×3 max pooling with stride [2  2] and padding [0  0  0  0]
     5   ''   2-D Convolution         256 5×5 convolutions with stride [1  1] and padding [5  5  5  5]
     6   ''   ReLU                    ReLU
     7   ''   2-D Max Pooling         3×3 max pooling with stride [2  2] and padding [0  0  0  0]
     8   ''   2-D Convolution         384 3×3 convolutions with stride [1  1] and padding [1  1  1  1]
     9   ''   ReLU                    ReLU
    10   ''   2-D Convolution         384 3×3 convolutions with stride [1  1] and padding [1  1  1  1]
    11   ''   ReLU                    ReLU
    12   ''   2-D Convolution         256 3×3 convolutions with stride [1  1] and padding [1  1  1  1]
    13   ''   ReLU                    ReLU
    14   ''   2-D Max Pooling         3×3 max pooling with stride [2  2] and padding [0  0  0  0]
    15   ''   Fully Connected         4096 fully connected layer
    16   ''   ReLU                    ReLU
    17   ''   Dropout                 50% dropout
    18   ''   Fully Connected         4096 fully connected layer
    19   ''   ReLU                    ReLU
    20   ''   Dropout                 50% dropout
    21   ''   Fully Connected         10 fully connected layer
    22   ''   Softmax                 softmax
    23   ''   Classification Output   crossentropyex
Initializing input data normalization.
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|========================================================================================|
# traint time: 0.100000[s], classify time: 0.119000[s], accuracy: a:0.071000

# traint time: 0.091000[s], classify time: 0.126000[s], accuracy: a:0.119000

# traint time: 0.071000[s], classify time: 0.076000[s], accuracy: a:0.100000

# traint time: 0.126000[s], classify time: 0.100000[s], accuracy: a:0.071000

# traint time: 0.071000[s], classify time: 0.127000[s], accuracy: a:0.127000

# traint time: 0.127000[s], classify time: 0.071000[s], accuracy: a:0.119000

# traint time: 0.079000[s], classify time: 0.119000[s], accuracy: a:0.100000

# traint time: 0.079000[s], classify time: 0.079000[s], accuracy: a:0.100000

# traint time: 0.119000[s], classify time: 0.135000[s], accuracy: a:0.135000

# traint time: 0.119000[s], classify time: 0.076000[s], accuracy: a:0.126000

# traint time: 0.071000[s], classify time: 0.076000[s], accuracy: a:0.127000

# traint time: 0.076000[s], classify time: 0.091000[s], accuracy: a:0.127000

# traint time: 0.127000[s], classify time: 0.076000[s], accuracy: a:0.071000

# traint time: 0.126000[s], classify time: 0.126000[s], accuracy: a:0.079000

# traint time: 0.071000[s], classify time: 0.076000[s], accuracy: a:0.100000

# traint time: 0.127000[s], classify time: 0.071000[s], accuracy: a:0.100000

# traint time: 0.071000[s], classify time: 0.091000[s], accuracy: a:0.119000

# traint time: 0.091000[s], classify time: 0.119000[s], accuracy: a:0.071000

# traint time: 0.119000[s], classify time: 0.119000[s], accuracy: a:0.076000

# traint time: 0.126000[s], classify time: 0.127000[s], accuracy: a:0.119000

# traint time: 0.127000[s], classify time: 0.071000[s], accuracy: a:0.126000

# traint time: 0.126000[s], classify time: 0.126000[s], accuracy: a:0.135000

# traint time: 0.127000[s], classify time: 0.119000[s], accuracy: a:0.079000

# traint time: 0.091000[s], classify time: 0.126000[s], accuracy: a:0.091000

# traint time: 0.071000[s], classify time: 0.127000[s], accuracy: a:0.079000

# traint time: 0.126000[s], classify time: 0.135000[s], accuracy: a:0.071000

# traint time: 0.071000[s], classify time: 0.071000[s], accuracy: a:0.100000

# traint time: 0.071000[s], classify time: 0.127000[s], accuracy: a:0.076000

# traint time: 0.126000[s], classify time: 0.076000[s], accuracy: a:0.076000

# traint time: 0.135000[s], classify time: 0.119000[s], accuracy: a:0.091000

# traint time: 0.126000[s], classify time: 0.135000[s], accuracy: a:0.135000

# traint time: 0.076000[s], classify time: 0.127000[s], accuracy: a:0.091000

# traint time: 0.127000[s], classify time: 0.135000[s], accuracy: a:0.126000

# traint time: 0.091000[s], classify time: 0.079000[s], accuracy: a:0.076000

# traint time: 0.126000[s], classify time: 0.126000[s], accuracy: a:0.100000

# traint time: 0.127000[s], classify time: 0.091000[s], accuracy: a:0.071000

# traint time: 0.076000[s], classify time: 0.119000[s], accuracy: a:0.100000

# traint time: 0.076000[s], classify time: 0.119000[s], accuracy: a:0.127000

# traint time: 0.076000[s], classify time: 0.076000[s], accuracy: a:0.100000

# traint time: 0.127000[s], classify time: 0.126000[s], accuracy: a:0.127000

# traint time: 0.135000[s], classify time: 0.126000[s], accuracy: a:0.079000

# traint time: 0.076000[s], classify time: 0.091000[s], accuracy: a:0.076000

# traint time: 0.071000[s], classify time: 0.076000[s], accuracy: a:0.100000

# traint time: 0.071000[s], classify time: 0.119000[s], accuracy: a:0.135000

# traint time: 0.079000[s], classify time: 0.126000[s], accuracy: a:0.076000

# traint time: 0.076000[s], classify time: 0.076000[s], accuracy: a:0.127000

# traint time: 0.126000[s], classify time: 0.127000[s], accuracy: a:0.100000

# traint time: 0.100000[s], classify time: 0.071000[s], accuracy: a:0.100000

# traint time: 0.126000[s], classify time: 0.126000[s], accuracy: a:0.135000

# traint time: 0.079000[s], classify time: 0.091000[s], accuracy: a:0.091000

# traint time: 0.079000[s], classify time: 0.135000[s], accuracy: a:0.091000

# traint time: 0.127000[s], classify time: 0.127000[s], accuracy: a:0.076000

# traint time: 0.076000[s], classify time: 0.079000[s], accuracy: a:0.135000

# traint time: 0.071000[s], classify time: 0.126000[s], accuracy: a:0.100000

# traint time: 0.091000[s], classify time: 0.126000[s], accuracy: a:0.100000

# traint time: 0.076000[s], classify time: 0.119000[s], accuracy: a:0.071000

# traint time: 0.071000[s], classify time: 0.076000[s], accuracy: a:0.119000

# traint time: 0.091000[s], classify time: 0.127000[s], accuracy: a:0.079000

# traint time: 0.076000[s], classify time: 0.076000[s], accuracy: a:0.076000

# traint time: 0.071000[s], classify time: 0.076000[s], accuracy: a:0.127000

# traint time: 0.071000[s], classify time: 0.126000[s], accuracy: a:0.127000

# traint time: 0.135000[s], classify time: 0.079000[s], accuracy: a:0.079000

# traint time: 0.076000[s], classify time: 0.079000[s], accuracy: a:0.127000

# traint time: 0.076000[s], classify time: 0.091000[s], accuracy: a:0.126000

# traint time: 0.076000[s], classify time: 0.100000[s], accuracy: a:0.127000

# traint time: 0.119000[s], classify time: 0.079000[s], accuracy: a:0.076000

# traint time: 0.126000[s], classify time: 0.076000[s], accuracy: a:0.126000

# traint time: 0.076000[s], classify time: 0.135000[s], accuracy: a:0.119000

# traint time: 0.076000[s], classify time: 0.079000[s], accuracy: a:0.119000

# traint time: 0.071000[s], classify time: 0.127000[s], accuracy: a:0.126000

# traint time: 0.076000[s], classify time: 0.100000[s], accuracy: a:0.127000

# traint time: 0.126000[s], classify time: 0.127000[s], accuracy: a:0.126000

# traint time: 0.076000[s], classify time: 0.119000[s], accuracy: a:0.076000

# traint time: 0.135000[s], classify time: 0.135000[s], accuracy: a:0.091000

# traint time: 0.100000[s], classify time: 0.076000[s], accuracy: a:0.100000

# traint time: 0.135000[s], classify time: 0.091000[s], accuracy: a:0.071000

# traint time: 0.091000[s], classify time: 0.135000[s], accuracy: a:0.076000

# traint time: 0.100000[s], classify time: 0.091000[s], accuracy: a:0.076000

# traint time: 0.135000[s], classify time: 0.127000[s], accuracy: a:0.100000

# traint time: 0.100000[s], classify time: 0.126000[s], accuracy: a:0.100000

# traint time: 0.100000[s], classify time: 0.091000[s], accuracy: a:0.076000

# traint time: 0.076000[s], classify time: 0.076000[s], accuracy: a:0.100000

# traint time: 0.076000[s], classify time: 0.127000[s], accuracy: a:0.076000

# traint time: 0.100000[s], classify time: 0.100000[s], accuracy: a:0.079000

# traint time: 0.100000[s], classify time: 0.135000[s], accuracy: a:0.079000

# traint time: 0.076000[s], classify time: 0.126000[s], accuracy: a:0.071000

# traint time: 0.076000[s], classify time: 0.135000[s], accuracy: a:0.091000

# traint time: 0.127000[s], classify time: 0.127000[s], accuracy: a:0.076000

# traint time: 0.079000[s], classify time: 0.076000[s], accuracy: a:0.079000

# traint time: 0.076000[s], classify time: 0.135000[s], accuracy: a:0.091000

# traint time: 0.119000[s], classify time: 0.091000[s], accuracy: a:0.127000

# traint time: 0.091000[s], classify time: 0.126000[s], accuracy: a:0.126000

# traint time: 0.135000[s], classify time: 0.071000[s], accuracy: a:0.127000

# traint time: 0.135000[s], classify time: 0.127000[s], accuracy: a:0.079000

# traint time: 0.135000[s], classify time: 0.135000[s], accuracy: a:0.126000

# traint time: 0.100000[s], classify time: 0.135000[s], accuracy: a:0.079000

# traint time: 0.076000[s], classify time: 0.126000[s], accuracy: a:0.126000

# traint time: 0.119000[s], classify time: 0.079000[s], accuracy: a:0.135000

# traint time: 0.091000[s], classify time: 0.119000[s], accuracy: a:0.071000

# traint time: 0.076000[s], classify time: 0.126000[s], accuracy: a:0.079000

# traint time: 0.126000[s], classify time: 0.076000[s], accuracy: a:0.119000

# traint time: 0.135000[s], classify time: 0.135000[s], accuracy: a:0.126000

# traint time: 0.119000[s], classify time: 0.071000[s], accuracy: a:0.127000

# traint time: 0.079000[s], classify time: 0.091000[s], accuracy: a:0.126000

# traint time: 0.091000[s], classify time: 0.119000[s], accuracy: a:0.076000

# traint time: 0.127000[s], classify time: 0.126000[s], accuracy: a:0.100000

# traint time: 0.076000[s], classify time: 0.119000[s], accuracy: a:0.076000

# traint time: 0.076000[s], classify time: 0.091000[s], accuracy: a:0.091000

# traint time: 0.079000[s], classify time: 0.076000[s], accuracy: a:0.091000

# traint time: 0.135000[s], classify time: 0.091000[s], accuracy: a:0.079000

# traint time: 0.076000[s], classify time: 0.091000[s], accuracy: a:0.076000

# traint time: 0.076000[s], classify time: 0.100000[s], accuracy: a:0.076000

# traint time: 0.091000[s], classify time: 0.091000[s], accuracy: a:0.071000

# traint time: 0.076000[s], classify time: 0.091000[s], accuracy: a:0.135000

# traint time: 0.119000[s], classify time: 0.100000[s], accuracy: a:0.127000

# traint time: 0.071000[s], classify time: 0.100000[s], accuracy: a:0.076000

# traint time: 0.126000[s], classify time: 0.135000[s], accuracy: a:0.119000

# traint time: 0.100000[s], classify time: 0.091000[s], accuracy: a:0.076000

# traint time: 0.091000[s], classify time: 0.126000[s], accuracy: a:0.071000

# traint time: 0.076000[s], classify time: 0.079000[s], accuracy: a:0.076000

# traint time: 0.135000[s], classify time: 0.135000[s], accuracy: a:0.071000

# traint time: 0.076000[s], classify time: 0.079000[s], accuracy: a:0.135000

# traint time: 0.127000[s], classify time: 0.135000[s], accuracy: a:0.091000

# traint time: 0.119000[s], classify time: 0.091000[s], accuracy: a:0.135000

# traint time: 0.079000[s], classify time: 0.076000[s], accuracy: a:0.135000

# traint time: 0.119000[s], classify time: 0.135000[s], accuracy: a:0.076000

# traint time: 0.091000[s], classify time: 0.127000[s], accuracy: a:0.100000

# traint time: 0.127000[s], classify time: 0.119000[s], accuracy: a:0.091000

# traint time: 0.091000[s], classify time: 0.119000[s], accuracy: a:0.091000

# traint time: 0.100000[s], classify time: 0.076000[s], accuracy: a:0.126000

# traint time: 0.076000[s], classify time: 0.076000[s], accuracy: a:0.119000

# traint time: 0.079000[s], classify time: 0.076000[s], accuracy: a:0.091000

# traint time: 0.119000[s], classify time: 0.079000[s], accuracy: a:0.076000

# traint time: 0.079000[s], classify time: 0.076000[s], accuracy: a:0.135000

# traint time: 0.076000[s], classify time: 0.100000[s], accuracy: a:0.076000

# traint time: 0.135000[s], classify time: 0.076000[s], accuracy: a:0.091000

# traint time: 0.100000[s], classify time: 0.076000[s], accuracy: a:0.076000

# traint time: 0.119000[s], classify time: 0.127000[s], accuracy: a:0.119000

# traint time: 0.119000[s], classify time: 0.079000[s], accuracy: a:0.119000

# traint time: 0.076000[s], classify time: 0.076000[s], accuracy: a:0.126000

# traint time: 0.091000[s], classify time: 0.126000[s], accuracy: a:0.079000

# traint time: 0.079000[s], classify time: 0.076000[s], accuracy: a:0.091000

# traint time: 0.076000[s], classify time: 0.071000[s], accuracy: a:0.135000

# traint time: 0.126000[s], classify time: 0.126000[s], accuracy: a:0.071000

# traint time: 0.100000[s], classify time: 0.091000[s], accuracy: a:0.079000

# traint time: 0.126000[s], classify time: 0.100000[s], accuracy: a:0.100000

# traint time: 0.071000[s], classify time: 0.076000[s], accuracy: a:0.119000

# traint time: 0.076000[s], classify time: 0.119000[s], accuracy: a:0.079000

# traint time: 0.076000[s], classify time: 0.100000[s], accuracy: a:0.100000

# traint time: 0.119000[s], classify time: 0.126000[s], accuracy: a:0.127000

# traint time: 0.127000[s], classify time: 0.127000[s], accuracy: a:0.071000

# traint time: 0.071000[s], classify time: 0.100000[s], accuracy: a:0.126000

# traint time: 0.119000[s], classify time: 0.119000[s], accuracy: a:0.076000

# traint time: 0.135000[s], classify time: 0.076000[s], accuracy: a:0.135000

# traint time: 0.091000[s], classify time: 0.135000[s], accuracy: a:0.135000

# traint time: 0.071000[s], classify time: 0.127000[s], accuracy: a:0.100000

# traint time: 0.127000[s], classify time: 0.079000[s], accuracy: a:0.091000

# traint time: 0.076000[s], classify time: 0.119000[s], accuracy: a:0.076000

# traint time: 0.119000[s], classify time: 0.079000[s], accuracy: a:0.076000

# traint time: 0.100000[s], classify time: 0.076000[s], accuracy: a:0.127000

# traint time: 0.126000[s], classify time: 0.079000[s], accuracy: a:0.076000

# traint time: 0.091000[s], classify time: 0.119000[s], accuracy: a:0.076000

# traint time: 0.091000[s], classify time: 0.100000[s], accuracy: a:0.127000

# traint time: 0.079000[s], classify time: 0.079000[s], accuracy: a:0.126000

# traint time: 0.126000[s], classify time: 0.126000[s], accuracy: a:0.126000

# traint time: 0.127000[s], classify time: 0.079000[s], accuracy: a:0.127000

# traint time: 0.127000[s], classify time: 0.076000[s], accuracy: a:0.135000

# traint time: 0.079000[s], classify time: 0.091000[s], accuracy: a:0.119000

# traint time: 0.126000[s], classify time: 0.100000[s], accuracy: a:0.079000

# traint time: 0.127000[s], classify time: 0.135000[s], accuracy: a:0.127000

# traint time: 0.119000[s], classify time: 0.076000[s], accuracy: a:0.091000

# traint time: 0.100000[s], classify time: 0.076000[s], accuracy: a:0.079000

# traint time: 0.135000[s], classify time: 0.119000[s], accuracy: a:0.079000

# traint time: 0.071000[s], classify time: 0.100000[s], accuracy: a:0.076000

# traint time: 0.126000[s], classify time: 0.076000[s], accuracy: a:0.100000

# traint time: 0.079000[s], classify time: 0.076000[s], accuracy: a:0.100000

>> 
